Date,Year,Month,Quarter,Sample,MOE,Voters,NYRT,NYWD,USRT,USWD,Fav_Biden,Unf_Biden,Fav_Trump,Unf_Trump,Fav_Cuomo,Unf_Cuomo,Fav_NYSA,Unf_NYSA,Fav_NYSS,Unf_NYSS,Fav_Schumer,Unfav_Schumer,Fav_Gillibrand,Unfav_Gillibrand,Fav_DiNapoli,Unf_DiNapoli,Fav_James,Unf_James,Fav_Hochul,Unfav_Hochul
07/18/2017,2017,July,3,793,4.00%,Registered,46%,40%,,,,,,,52%,41%,41%,41%,44%,43%,,,,,,,,,,
07/20/2017,2017,July,3,793,4.00%,Registered,,,33%,58%,,,34%,62%,,,,,,,53%,37%,43%,24%,,,,,,
09/05/2017,2017,September,3,771,4.20%,Registered,,,27%,62%,,,29%,66%,,,,,,,58%,32%,49%,23%,,,,,,
11/01/2017,2017,November,4,814,3.40%,Registered,48%,40%,,,,,31%,65%,52%,43%,39%,44%,37%,48%,,,58%,26%,,,,,,
01/16/2018,2018,January,1,824,4.00%,Registered,50%,35%,33%,58%,,,32%,63%,62%,30%,42%,36%,44%,39%,59%,,51%,23%,27%,12%,,,,
02/12/2018,2018,February,1,823,3.90%,Registered,48%,39%,,,,,,,53%,40%,44%,35%,44%,40%,,,,,,,,,,
03/19/2018,2018,March,1,772,4.00%,Registered,46%,42%,33%,58%,,,33%,63%,52%,40%,41%,38%,39%,44%,54%,36%,49%,25%,28%,14%,,,,
04/17/2018,2018,April,2,692,4.30%,Registered,44%,44%,30%,63%,,,31%,65%,49%,44%,41%,41%,41%,45%,53%,38%,48%,29%,26%,15%,,,,
06/13/2018,2018,June,2,745,3.70%,Registered,45%,41%,39%,54%,,,38%,59%,51%,44%,40%,43%,41%,45%,56%,37%,53%,28%,32%,15%,20%,10%,,
09/28/2018,2018,September,3,701,3.90%,Likely,42%,44%,38%,56%,,,37%,59%,50%,46%,,,,,,,,,,,,,,
11/04/2018,2018,November,4,641,3.90%,Likely,40%,47%,39%,56%,,,39%,58%,45%,49%,,,,,,,46%,34%,33%,16%,28%,12%,,
01/14/2019,2019,January,1,805,4.10%,Registered,49%,40%,,,,,,,51%,43%,48%,32%,49%,38%,,,,,34%,16%,39%,18%,,
02/11/2019,2019,February,1,778,4.30%,Registered,44%,45%,35%,57%,,,35%,59%,43%,50%,43%,38%,43%,41%,47%,46%,44%,34%,,,,,,
03/18/2019,2019,March,1,700,4.20%,Registered,43%,46%,34%,57%,,,36%,60%,46%,48%,44%,35%,46%,38%,51%,41%,43%,33%,,,,,,
04/16/2019,2019,April,2,735,4.10%,Registered,42%,46%,36%,54%,,,38%,59%,47%,48%,48%,33%,46%,39%,49%,43%,41%,35%,29%,17%,34%,18%,,
06/10/2019,2019,June,2,812,4.10%,Registered,44%,43%,,,,,34%,63%,52%,42%,47%,36%,46%,39%,54%,40%,44%,36%,,,,,,
08/06/2019,2019,August,3,810,4.10%,Registered,45%,44%,37%,53%,,,35%,62%,43%,50%,43%,38%,45%,40%,53%,39%,41%,36%,23%,17%,36%,18%,,
09/17/2019,2019,September,3,798,4.10%,Registered,47%,40%,33%,59%,,,32%,64%,48%,46%,42%,35%,46%,36%,48%,39%,41%,36%,,,,,,
10/15/2019,2019,October,4,742,4.30%,Registered,46%,44%,31%,62%,,,30%,67%,49%,47%,44%,39%,47%,35%,49%,41%,,,,,,,,
11/21/2019,2019,November,4,797,4.00%,Registered,45%,42%,32%,58%,,,32%,65%,44%,49%,45%,34%,45%,39%,51%,40%,,,,,,,,
01/21/2020,2020,January,1,814,4.10%,Registered,49%,41%,,,,,31%,64%,49%,45%,40%,35%,43%,38%,54%,,45%,29%,27%,15%,36%,15%,,
02/24/2020,2020,February,1,658,4.50%,Registered,41%,46%,38%,55%,45%,47%,36%,61%,,,,,,,,,,,,,,,,
03/30/2020,2020,March,1,566,4.50%,Registered,56%,27%,42%,47%,51%,40%,35%,59%,71%,23%,,,,,52%,38%,,,,,,,,
04/27/2020,2020,April,2,803,3.70%,Registered,65%,28%,34%,60%,60%,36%,31%,66%,77%,21%,57%,29%,58%,31%,55%,39%,55%,31%,,,,,,
06/30/2020,2020,June,2,806,3.90%,Registered,52%,38%,28%,64%,53%,39%,33%,62%,65%,31%,45%,30%,45%,34%,,,,,,,,,,
09/27/2020,2020,September,3,504,4.40%,Likely,46%,34%,24%,62%,62%,33%,29%,66%,59%,33%,,,,,,,,,,,,,,
11/24/2020,2020,November,4,803,4.10%,Registered,50%,37%,38%,48%,63%,31%,33%,64%,56%,39%,47%,28%,50%,31%,45%,39%,39%,29%,22%,16%,33%,,,
1/19/21,2021,January,1,804,4.10%,Registered,50%,40%,31%,59%,62%,32%,30%,66%,57%,39%,48%,28%,51%,30%,45%,39%,43%,29%,21%,14%,35%,17%,,
2/16/21,2021,February,1,804,4.30%,Registered,48%,41%,49%,42%,65%,29%,26%,67%,56%,39%,45%,31%,47%,33%,49%,39%,,,,,36%,17%,,
3/15/21,2021,March,1,805,4.10%,Registered,48%,38%,50%,41%,64%,30%,31%,66%,43%,45%,49%,25%,50%,28%,49%,35%,43%,27%,,,40%,14%,23%,14%
4/19/21,2021,April,2,801,4.30%,Registered,49%,40%,45%,45%,62%,33%,33%,64%,40%,52%,42%,30%,46%,32%,49%,38%,,,,,39%,17%,18%,13%
5/24/21,2021,May,2,793,4.00%,Registered,48%,40%,46%,43%,62%,34%,,,44%,48%,46%,32%,47%,34%,50%,39%,41%,32%,23%,14%,38%,20%,,
6/1/21,2021,June,2,809,4.10%,Registered,48%,38%,45%,44%,63%,34%,,,45%,47%,45%,29%,48%,33%,50%,38%,,,,,34%,21%,,
9/14/21,2021,September,3,700,4.20%,Registered,48%,37%,40%,48%,57%,37%,33%,61%,34%,55%,45%,30%,46%,33%,52%,33%,44%,23%,22%,14%,38%,18%,42%,17%
10/19/21,2021,October,4,801,4.10%,Registered,44%,43%,35%,54%,51%,44%,37%,59%,33%,60%,,,,,50%,40%,,,,,39%,19%,42%,26%
12/7/21,2021,December,4,785,4.00%,Registered,41%,45%,34%,56%,52%,44%,36%,58%,,,,,,,48%,38%,,,,,40%,25%,42%,28%
1/18/22,2022,January,1,806,4.00%,Registered,41%,43%,31%,57%,52%,42%,33%,61%,,,45%,32%,45%,36%,51%,38%,44%,28%,24%,16%,40%,25%,45%,29%
2/22/22,2022,February,1,803,3.90%,Registered,41%,45%,34%,57%,48%,48%,35%,59%,,,40%,37%,44%,39%,47%,39%,,,,,39%,23%,46%,32%
3/28/22,2022,March,1,804,4.20%,Registered,40%,49%,36%,57%,50%,46%,34%,61%,33%,60%,,,,,50%,40%,,,,,42%,27%,45%,35%
4/25/22,2022,April,2,806,3.90%,Registered,36%,52%,34%,57%,51%,45%,34%,61%,,,40%,38%,37%,42%,,,,,,,,,44%,34%
6/16/22,2022,June,2,802,3.90%,Registered,37%,51%,25%,68%,49%,46%,33%,63%,,,37%,38%,41%,40%,50%,40%,,,21%,14%,40%,28%,46%,37%
8/2/22,2022,August,3,806,3.50%,Likely,36%,50%,19%,71%,48%,48%,32%,63%,,,,,,,49%,43%,,,22%,11%,43%,29%,46%,41%
9/28/22,2022,September,3,655,3.90%,Likely,41%,47%,31%,59%,51%,46%,32%,63%,,,,,,,50%,40%,,,20%,12%,45%,30%,47%,40%
10/18/22,2022,October,4,707,4.90%,Likely,39%,52%,30%,61%,53%,45%,36%,61%,,,,,,,53%,40%,,,21%,13%,42%,33%,45%,41%
12/13/22,2022,December,4,816,4.10%,Registered,38%,50%,32%,59%,48%,46%,37%,58%,,,,,,,49%,40%,42%,27%,27%,12%,44%,29%,45%,43%
1/23/23,2023,January,1,821,4.30%,Registered,39%,49%,28%,63%,49%,47%,31%,64%,,,44%,34%,44%,38%,,,,,,,,,48%,42%
2/27/23,2023,February,1,744,5.00%,Registered,41%,49%,35%,56%,54%,43%,37%,60%,,,45%,37%,45%,39%,48%,45%,43%,36%,,,,,46%,43%
3/27/23,2023,March,1,802,4.60%,Registered,39%,48%,33%,57%,48%,45%,38%,57%,,,44%,34%,50%,34%,54%,36%,46%,25%,,,,,43%,43%
5/16/23,2023,May,2,810,4.10%,Registered,42%,48%,28%,63%,51%,45%,30%,64%,,,40%,36%,41%,41%,50%,38%,41%,31%,,,,,40%,45%
6/28/23,2023,June,2,817,3.90%,Registered,38%,50%,32%,61%,47%,47%,33%,61%,,,38%,36%,41%,38%,46%,38%,41%,31%,22%,20%,39%,30%,42%,43%
8/22/23,2023,August,3,803,4.40%,Registered,39%,48%,30%,62%,46%,50%,37%,56%,,,,,,,48%,38%,39%,28%,,,,,40%,46%
9/19/23,2023,September,3,804,4.30%,Registered,35%,52%,33%,59%,50%,45%,33%,61%,,,,,,,47%,37%,41%,27%,,,,,40%,41%
10/24/23,2023,October,4,1225,3.40%,Registered,34%,52%,25%,65%,45%,52%,36%,59%,,,,,,,44%,41%,39%,30%,,,,,40%,44%
11/20/23,2023,November,4,803,4.60%,Registered,36%,53%,25%,66%,44%,51%,34%,60%,,,,,,,46%,40%,42%,26%,,,,,40%,43%
1/22/24,2024,January,1,807,4.50%,Registered,34%,55%,31%,60%,43%,53%,37%,57%,,,,,,,49%,38%,42%,28%,21%,15%,45%,30%,45%,42%
2/20/24,2024,February,1,806,4.20%,Registered,36%,52%,31%,62%,46%,50%,37%,58%,,,,,,,48%,40%,40%,32%,,,,,41%,46%
4/22/24,2024,April,2,806,4.10%,Registered,35%,53%,27%,64%,45%,52%,37%,59%,,,35%,38%,37%,42%,47%,42%,39%,31%,,,,,40%,49%
5/22/24,2024,May,2,1191,3.90%,Registered,35%,52%,29%,61%,45%,50%,39%,56%,,,,,,,46%,40%,39%,32%,22%,17%,39%,33%,38%,46%
6/20/24,2024,June,2,805,4.10%,Registered,37%,52%,31%,61%,42%,53%,37%,59%,,,36%,37%,38%,39%,43%,44%,40%,31%,,,,,38%,49%
